epoch,step,train_loss,train_mean_squared_error,valid_loss,valid_mean_squared_error
13,9099,1520471552.0,,,
13,9149,1323475712.0,,,
13,9199,1495995648.0,,,
13,9249,1376453376.0,,,
13,9299,1499960064.0,,,
13,9349,1396401152.0,,,
13,9399,1382578176.0,,,
13,9449,1428426496.0,,,
13,9499,1445574144.0,,,
13,9549,1380465408.0,,,
13,9575,,,1424527232.0,1424527232.0
13,9575,,1443104640.0,,
14,9599,1459953024.0,,,
14,9649,1365150720.0,,,
14,9699,1489497088.0,,,
14,9749,1355483648.0,,,
14,9799,1420123904.0,,,
14,9849,1366023296.0,,,
14,9899,1452377344.0,,,
14,9949,1330625152.0,,,
14,9999,1349009920.0,,,
14,10049,1394066432.0,,,
14,10099,1344983552.0,,,
14,10149,1336689408.0,,,
14,10199,1360007808.0,,,
14,10249,1459633408.0,,,
14,10259,,,1387026176.0,1387026176.0
14,10259,,1406254720.0,,
15,10299,1350442112.0,,,
15,10349,1378046464.0,,,
15,10399,1497934976.0,,,
15,10449,1282326016.0,,,
15,10499,1319523328.0,,,
15,10549,1365476736.0,,,
15,10599,1360420480.0,,,
15,10649,1317906176.0,,,
15,10699,1414718208.0,,,
15,10749,1318512384.0,,,
15,10799,1259918976.0,,,
15,10849,1417175040.0,,,
15,10899,1282881024.0,,,
15,10943,,,1348308480.0,1348308480.0
15,10943,,1368132096.0,,
16,10949,1271613696.0,,,
16,10999,1304499968.0,,,
16,11049,1434252544.0,,,
16,11099,1399737600.0,,,
16,11149,1405053184.0,,,
16,11199,1371096704.0,,,
16,11249,1274051584.0,,,
16,11299,1303261952.0,,,
16,11349,1301844608.0,,,
16,11399,1191899136.0,,,
16,11449,1327085568.0,,,
16,11499,1326937600.0,,,
16,11549,1304874752.0,,,
16,11599,1421990528.0,,,
16,11627,,,1308486656.0,1308486656.0
16,11627,,1328848512.0,,
17,11649,1278141440.0,,,
17,11699,1284381056.0,,,
17,11749,1132165376.0,,,
17,11799,1298531584.0,,,
17,11849,1345079040.0,,,
17,11899,1325472640.0,,,
17,11949,1404631808.0,,,
17,11999,1353455360.0,,,
17,12049,1234047488.0,,,
17,12099,1350457472.0,,,
17,12149,1213842560.0,,,
17,12199,1246044928.0,,,
17,12249,1259816960.0,,,
17,12299,1281689216.0,,,
17,12311,,,1267698048.0,1267698048.0
17,12311,,1288529920.0,,
18,12349,1238787584.0,,,
18,12399,1279553536.0,,,
18,12449,1208833280.0,,,
18,12499,1220810752.0,,,
18,12549,1210171648.0,,,
18,12599,1250508032.0,,,
18,12649,1341857664.0,,,
18,12699,1262708352.0,,,
18,12749,1259117312.0,,,
18,12799,1230803200.0,,,
18,12849,1237510912.0,,,
18,12899,1221544960.0,,,
18,12949,1366316288.0,,,
18,12995,,,1226033792.0,1226033792.0
18,12995,,1247283456.0,,
19,12999,1146934272.0,,,
19,13049,1095923968.0,,,
19,13099,1209736704.0,,,
19,13149,1244620672.0,,,
19,13199,1195219712.0,,,
19,13249,1182089728.0,,,
19,13299,1184259840.0,,,
19,13349,1213142272.0,,,
19,13399,1197216000.0,,,
19,13449,1222603008.0,,,
19,13499,1241924608.0,,,
19,13549,1252249088.0,,,
19,13599,1198482560.0,,,
19,13649,1177464960.0,,,
19,13679,,,1183672448.0,1183672448.0
19,13679,,1205253760.0,,
20,13699,1171018624.0,,,
20,13749,1228060800.0,,,
20,13799,1198754560.0,,,
20,13849,1230469120.0,,,
20,13899,1149960832.0,,,
20,13949,1098275072.0,,,
20,13999,1240992512.0,,,
20,14049,1195352320.0,,,
20,14099,1166092032.0,,,
20,14149,1166743040.0,,,
20,14199,1133633792.0,,,
20,14249,1234578688.0,,,
20,14299,1157633024.0,,,
20,14349,1138926208.0,,,
20,14363,,,1140738304.0,1140738304.0
20,14363,,1162586880.0,,
21,14399,1175585536.0,,,
21,14449,1126188032.0,,,
21,14499,1150896512.0,,,
21,14549,1162148224.0,,,
21,14599,1095830528.0,,,
21,14649,1153750784.0,,,
21,14699,1077279744.0,,,
21,14749,1141747200.0,,,
21,14799,1186171648.0,,,
21,14849,1239105920.0,,,
21,14899,1197128704.0,,,
21,14949,1157203840.0,,,
21,14999,1038464256.0,,,
21,15047,,,1097373824.0,1097373824.0
21,15047,,1119421568.0,,
22,15049,1183622016.0,,,
22,15099,1093989120.0,,,
22,15149,1177640832.0,,,
22,15199,1076970112.0,,,
22,15249,1048731072.0,,,
22,15299,1200867072.0,,,
22,15349,1157241856.0,,,
22,15399,1186607872.0,,,
22,15449,1131198592.0,,,
22,15499,1130873344.0,,,
22,15549,1050411008.0,,,
22,15599,1056537280.0,,,
22,15649,1007400512.0,,,
22,15699,1006745088.0,,,
22,15731,,,1053736320.0,1053736320.0
22,15731,,1075903616.0,,
23,15749,1064306432.0,,,
23,15799,1107942656.0,,,
23,15849,1058155008.0,,,
23,15899,1068647744.0,,,
23,15949,1044096640.0,,,
23,15999,985189632.0,,,
23,16049,1015044224.0,,,
23,16099,1079250176.0,,,
23,16149,1022034496.0,,,
23,16199,1083382528.0,,,
23,16249,993074176.0,,,
23,16299,1029973376.0,,,
23,16349,1035420672.0,,,
23,16399,1147889664.0,,,
23,16415,,,1009948480.0,1009948480.0
23,16415,,1032172288.0,,
24,16449,1016439232.0,,,
24,16499,981403008.0,,,
24,16549,1027491904.0,,,
24,16599,1005996160.0,,,
24,16649,949013184.0,,,
24,16699,1033609920.0,,,
24,16749,925956736.0,,,
24,16799,987371648.0,,,
24,16849,1031369216.0,,,
24,16899,949438336.0,,,
24,16949,940330624.0,,,
24,16999,1070834944.0,,,
24,17049,957718080.0,,,
24,17099,898254720.0,,,
24,17099,,,966172096.0,966172096.0
24,17099,,988370624.0,,
