epoch,step,train_loss,train_mean_squared_error,valid_loss,valid_mean_squared_error
0,49,431146976.0,,,
0,99,22119660.0,,,
0,149,12154856.0,,,
0,199,10456580.0,,,
0,249,10580320.0,,,
0,299,7109329.0,,,
0,349,5602614.5,,,
0,399,6400159.0,,,
0,449,5610490.0,,,
0,499,5169949.5,,,
0,549,4213270.5,,,
0,599,6561704.5,,,
0,649,4234997.5,,,
0,683,,,3431605.5,3431605.5
0,683,,115020600.0,,
1,699,5651625.0,,,
1,749,3247080.25,,,
1,799,3728226.0,,,
1,849,2873580.5,,,
1,899,5637758.0,,,
1,949,3974959.0,,,
1,999,2641990.0,,,
1,1049,3171019.25,,,
1,1099,3117949.75,,,
1,1149,2774330.75,,,
1,1199,4683884.0,,,
1,1249,3495831.0,,,
1,1299,4032312.0,,,
1,1349,4533164.0,,,
1,1367,,,2381820.25,2381820.25
1,1367,,3910417.5,,
2,1399,3548620.25,,,
2,1449,2256883.25,,,
2,1499,2982518.5,,,
2,1549,3775359.0,,,
2,1599,2722200.0,,,
2,1649,5369370.0,,,
2,1699,2695299.5,,,
2,1749,2087987.75,,,
2,1799,3129898.75,,,
2,1849,3290502.75,,,
2,1899,2245016.75,,,
2,1949,2034578.75,,,
2,1999,2562957.25,,,
2,2049,1806119.0,,,
2,2051,,,2323742.25,2323742.25
2,2051,,3142106.75,,
3,2099,3271057.0,,,
3,2149,2285177.0,,,
3,2199,2234092.25,,,
3,2249,1519098.25,,,
3,2299,4303921.0,,,
3,2349,2284604.5,,,
3,2399,1553502.0,,,
3,2449,2093973.875,,,
3,2499,1358197.875,,,
3,2549,3055087.0,,,
3,2599,2911344.0,,,
3,2649,4401727.5,,,
3,2699,1446339.5,,,
3,2735,,,1285330.5,1285330.5
3,2735,,2422233.5,,
4,2749,4495193.0,,,
4,2799,1177054.75,,,
4,2849,3018513.5,,,
4,2899,1053576.0,,,
4,2949,917562.75,,,
4,2999,1957149.625,,,
4,3049,3669486.0,,,
4,3099,1242229.25,,,
4,3149,1380075.25,,,
4,3199,1584948.125,,,
4,3249,1206828.5,,,
4,3299,975326.125,,,
4,3349,3386330.0,,,
4,3399,4212506.5,,,
4,3419,,,819796.1875,819796.1875
4,3419,,1924222.0,,
